step,x1,x2,x3,x4,x5
0,0.097627,0.00860757,0.00411054,0.00179533,-0.00305381
0,0.291788,-0.00249651,0.0156709,0.0185465,-0.00466234
0,0.58345,0.0011558,0.00272178,0.0170239,-0.0171586
0,-0.825741,-0.0191913,0.0133048,0.0111263,0.0148005
0,0.957237,0.0119663,-0.00154083,0.0112212,-0.015269
0,0.279842,-0.0142659,0.0177868,0.000873933,-0.00341352
0,-0.470889,0.0109693,-0.00175399,0.00273736,-0.0192484
0,0.235271,0.00448383,0.00467736,0.0177499,0.00727281
0,-0.280984,-0.00251872,0.00790525,-0.017591,0.00667067
0,0.341276,-0.0115847,-0.0148429,-0.00738287,-0.00545157
0,0.140394,-0.00245594,0.019535,-0.0159182,-0.0116449
0,-0.677381,0.00612433,-0.00986834,-0.00134757,-0.010223
0,-0.682061,-0.015585,0.00625318,-0.0144727,-0.0121367
0,-0.26255,0.0128397,-0.0161159,0.0135178,-0.0161561
0,0.952919,-0.00125395,0.0190704,0.00419382,0.00957054
0,-0.921624,-0.00868772,-0.0151921,-0.00815439,-0.0152509
0,-0.364034,-0.00342948,-0.0174341,0.00769888,0.00266406
0,-0.469221,0.000929922,-0.0162424,0.00303786,0.0171718
0,-0.362862,0.00669642,-0.0147281,0.00865309,-0.00842376
0,-0.633617,0.00346052,-0.0191957,0.0131576,-0.0198122
0,0.355633,-0.00919968,0.00940776,0.0184875,-0.0100499
0,0.152315,0.00368168,0.00289008,-0.0110767,0.01811
0,-0.105749,0.0138563,0.00797917,-0.00810252,0.0125519
0,-0.206989,0.0152441,0.00325091,0.0152694,0.00770126
0,0.450509,5.29753e-05,0.0182433,0.00575961,-0.0030458
0,0.212786,-0.0192323,-0.00793701,0.00640694,-0.0083969
0,0.236031,-0.00284925,-0.014581,-0.00806871,0.0027986
0,0.181746,0.00297301,0.00612803,0.00608413,-0.00274326
0,0.793093,-0.00529753,-0.0025654,0.0156769,0.0122478
0,0.407777,-0.0159909,0.0167793,0.00856965,0.0199539
0,-0.701103,0.014725,-0.0135003,0.00462238,-0.0150472
0,0.696016,0.0122928,0.00276403,-0.00371267,-0.0172333
0,0.394858,-0.00185829,0.00888222,0.0146553,0.0190209
0,0.711607,-0.0195314,-0.00560088,0.00919962,-0.0131348
0,0.0420732,-0.0178265,-0.0120001,-0.0192591,0.0117479
0,-0.552151,-0.00618593,0.0171233,0.00817658,-0.0187264
0,-0.670612,0.00485914,0.00308914,-0.0104843,0.0173686
0,0.227932,0.00142531,0.0035964,0.00920488,-0.0075222
0,-0.203558,-0.0116063,-0.0125523,0.0177749,0.00958203
0,-0.0190824,-0.0109034,-0.00982574,-0.0176788,-0.00262333
0,-0.376408,0.00785374,-0.00488993,-0.0128159,-0.0190129
0,-0.865501,0.00717571,-0.00185213,0.00146317,0.0158669
0,0.980678,-0.0113241,0.00652313,-0.0094671,-0.019174
0,0.516757,-0.00719931,-0.00466144,0.00353268,0.0132419
0,0.257964,0.014906,-0.00905832,0.0119219,-0.0125746
0,0.905583,0.00749953,-0.0113797,0.0178948,0.00923423
0,-0.492117,-0.0114675,0.000728029,-0.0189735,-0.0117012
0,-0.150629,-0.0050332,-0.00145698,-0.00889485,0.00347137
0,0.727711,-0.0152987,0.000695164,-0.0147173,0.00867439
0,-0.207881,0.00261685,-0.0126688,-0.0142061,-0.000477749
0,-0.288775,0.0176173,0.010613,0.00994654,0.0161488
0,-0.833155,0.0020877,0.00337904,0.0184775,-0.0083141
0,-0.518342,-0.0159882,-0.0193428,0.0171812,0.00679666
0,0.570306,-0.0087308,0.00345641,-0.0174418,-0.000574896
0,0.95499,0.0150602,-0.00647364,0.0184628,-0.0107319
0,0.898638,0.0176551,0.0119681,0.00521792,0.0149715
0,-0.413959,0.0139577,0.00471507,-0.0194705,-0.00611066
0,-0.703718,0.0192732,-0.000865188,-0.000104345,0.0055789
0,-0.262831,-0.014524,0.0128847,-0.0124061,0.000452759
0,-0.551366,-0.0160862,0.0144877,0.0189168,0.0184334
0,0.813111,0.0109619,-0.00667419,-0.0167559,-0.00371035
0,-0.535532,-0.0147005,-0.0178629,0.00902377,-0.0195429
0,0.541161,-0.0141221,-0.0168191,-0.0164159,0.00688191
0,-0.509266,-0.00317842,0.00229475,0.014422,0.00908177
0,-0.459344,-0.0147407,-0.017785,-0.00793605,-0.00951527
