step,x1,x2,x3,x4
0,-0.585985,-0.810212,-0.3085,0.951466
0,0.587366,-0.80862,-0.308517,-0.952275
0,-0.587539,-0.809935,-0.309669,0.949282
0,-0.000473361,-1.0002,-0.99945,8.99927e-07
0,-0.952599,0.309879,0.808898,-0.587297
0,0.000965936,-0.998577,-0.998039,-7.22388e-05
0,-0.950745,0.307939,0.810079,-0.58897
0,-0.00180525,-0.99917,-1.00052,0.000777607
0,0.951465,-0.310647,0.806297,-0.588882
0,-0.587769,0.807795,-0.30967,-0.952515
0,0.951226,-0.308926,0.808536,-0.586388
0,-0.949559,-0.308452,0.807217,0.586681
0,-0.587378,-0.809646,-0.309504,0.951955
0,0.588296,-0.807703,-0.309446,-0.949681
0,0.950502,-0.307518,0.809123,-0.588646
0,0.586154,0.808716,-0.309273,0.951914
0,0.587675,-0.809449,-0.30794,-0.951281
0,0.587209,-0.808442,-0.309507,-0.950398
0,-0.588382,-0.80924,-0.308865,0.950682
0,0.951043,-0.308202,0.809428,-0.587304
0,0.58715,-0.808164,-0.308347,-0.950052
0,0.95033,-0.309189,0.809651,-0.588394
0,-0.588011,0.810943,-0.307065,-0.949817
0,0.588724,-0.810036,-0.308504,-0.951416
0,0.949998,-0.309526,0.809133,-0.588333
0,-0.951607,0.309809,0.809161,-0.587552
0,0.951168,0.308341,0.807646,0.588096
0,0.587278,-0.811028,-0.30941,-0.952149
0,-0.587087,-0.808495,-0.30852,0.950391
0,-0.950325,0.309337,0.808607,-0.588239
0,0.951949,0.308543,0.809321,0.588819
0,0.952966,-0.307353,0.809918,-0.589291
0,-0.951746,0.308469,0.81067,-0.588485
0,-0.95067,-0.308916,0.808082,0.588167
0,0.000398296,0.998744,-0.998777,-0.00208651
0,0.587194,-0.808045,-0.31021,-0.950706
0,-0.952353,0.308924,0.806703,-0.588628
0,-0.952599,0.308615,0.808602,-0.588459
0,0.951854,-0.309904,0.809651,-0.586156
0,-0.587646,-0.809875,-0.310266,0.950347
0,0.000704643,1.00016,-0.999063,0.000770331
0,-0.587644,0.80949,-0.307162,-0.949641
0,-0.951359,-0.308027,0.809603,0.588922
0,0.951728,0.308043,0.807397,0.588358
0,0.00190262,-1.00078,-1.00019,-0.00103575
0,-0.586607,-0.811322,-0.311281,0.951432
0,-0.587868,0.808537,-0.309318,-0.95052
0,-0.000413804,0.998903,-1.00093,0.000888339
